sub,ses,dir,stratum,mean_fc,skew,mean_fc_flag,skew_flag,fc_flag,temporal_flag,fd_exclude,any_internal_run_review,any_attention
sub-1078,ses-1,AP,ses-1/AP,0.036041636,0.34927195,False,False,False,False,False,False,False
sub-1078,ses-1,PA,ses-1/PA,0.101301335,0.15901458,False,False,False,False,False,False,False
sub-1078,ses-2,AP,ses-2/AP,0.08917934,0.17034242,False,False,False,False,False,False,False
sub-1078,ses-2,PA,ses-2/PA,0.14202547,0.04015209,False,False,False,False,False,False,False
sub-1079,ses-1,AP,ses-1/AP,0.061785866,0.32573542,False,False,False,False,False,False,False
sub-1079,ses-1,PA,ses-1/PA,0.08766883,0.102739796,False,False,False,False,False,False,False
sub-1079,ses-2,AP,ses-2/AP,0.06243284,0.33642972,False,False,False,False,False,False,False
sub-1079,ses-2,PA,ses-2/PA,0.101341106,0.11075959,False,False,False,False,False,False,False
sub-1080,ses-1,AP,ses-1/AP,0.087803155,0.13833483,False,False,False,False,False,False,False
sub-1080,ses-1,PA,ses-1/PA,0.10427259,0.1959353,False,False,False,False,False,False,False
sub-1080,ses-2,AP,ses-2/AP,0.095702395,0.12822884,False,False,False,False,False,False,False
sub-1080,ses-2,PA,ses-2/PA,0.06835177,0.22547033,False,False,False,False,False,False,False
sub-1081,ses-1,AP,ses-1/AP,0.07399623,0.20196913,False,False,False,False,False,False,False
sub-1081,ses-1,PA,ses-1/PA,0.07944894,0.12737133,False,False,False,False,False,False,False
sub-1081,ses-2,AP,ses-2/AP,0.09316643,0.024744958,False,False,False,False,False,False,False
sub-1081,ses-2,PA,ses-2/PA,0.09469539,0.18046358,False,False,False,False,False,False,False
sub-1082,ses-1,AP,ses-1/AP,0.1487456,-0.10577977,False,False,False,False,False,False,False
sub-1082,ses-1,PA,ses-1/PA,0.1968609,-0.1564861,False,False,False,False,False,False,False
sub-1082,ses-2,AP,ses-2/AP,0.19028513,-0.10197412,False,False,False,False,False,False,False
sub-1082,ses-2,PA,ses-2/PA,0.17024839,0.10215946,False,False,False,False,False,False,False
sub-1083,ses-1,AP,ses-1/AP,0.10327816,0.12288687,False,False,False,False,False,False,False
sub-1083,ses-1,PA,ses-1/PA,0.036243018,0.24930827,False,False,False,False,False,False,False
sub-1083,ses-2,AP,ses-2/AP,0.04963542,0.28555736,False,False,False,False,False,False,False
sub-1083,ses-2,PA,ses-2/PA,0.05949602,0.25430068,False,False,False,False,False,False,False
sub-1084,ses-1,AP,ses-1/AP,0.12016858,0.12160173,False,False,False,False,False,False,False
sub-1084,ses-1,PA,ses-1/PA,0.06497809,0.18393579,False,False,False,False,False,False,False
sub-1084,ses-2,AP,ses-2/AP,0.057803497,0.15597048,False,False,False,False,False,False,False
sub-1084,ses-2,PA,ses-2/PA,0.058595475,0.21147318,False,False,False,False,False,False,False
sub-1085,ses-1,AP,ses-1/AP,0.12089893,0.15201372,False,False,False,False,False,False,False
sub-1085,ses-1,PA,ses-1/PA,0.10712489,0.10177561,False,False,False,False,False,False,False
sub-1085,ses-2,AP,ses-2/AP,0.086774334,0.15913194,False,False,False,False,False,False,False
sub-1085,ses-2,PA,ses-2/PA,0.16899009,-0.08424624,False,False,False,False,False,False,False
sub-1086,ses-1,AP,ses-1/AP,0.20893358,-0.09426401,False,False,False,False,False,False,False
sub-1086,ses-1,PA,ses-1/PA,0.20089145,-0.067695536,False,False,False,False,False,False,False
sub-1086,ses-2,AP,ses-2/AP,0.37440273,-0.41768846,True,True,True,False,True,True,True
sub-1086,ses-2,PA,ses-2/PA,0.17459916,0.06295002,False,False,False,False,True,False,True
sub-1087,ses-1,AP,ses-1/AP,0.06521603,0.3976271,False,False,False,False,False,False,False
sub-1087,ses-1,PA,ses-1/PA,0.14535914,0.21421096,False,False,False,False,False,False,False
sub-1087,ses-2,AP,ses-2/AP,0.25042576,-0.014813693,False,False,False,False,False,False,False
